Population,Genotype,Replicate,Elevation,Latitude,Transect,Leaf Node,Leaf Area,Convex Hull,Lobing Ratio,Notes
BCL,9,r2,4900,37.2049,2,,0.487,1.066,0.54315197,
BCL,3,r3,4900,37.2049,2,,0.413,0.714,0.421568627,
BCL,3,r1,4900,37.2049,2,,0.242,0.328,0.262195122,
BCL,3,r5,4900,37.2049,2,,0.415,0.593,0.300168634,
BCL,3,r4,4900,37.2049,2,,0.77,1.291,0.403563129,
BCL,3,r2,4900,37.2049,2,,0.268,0.382,0.298429319,
BCL,7,r1,4900,37.2049,2,,0.163,0.198,0.176767677,
BCL,9,r3,4900,37.2049,2,,0.149,0.188,0.207446809,
BML,4,r4,5500,37.1041,2,3,0.751,0.894,0.159955257,
BML,18,r5,5500,37.1041,2,,0.224,0.284,0.211267606,
BML,18,r3,5500,37.1041,2,,0.54,0.592,0.087837838,
BML,8,r1,5500,37.1041,2,,0.403,0.45,0.104444444,
BML,14,r6,5500,37.1041,2,,0.645,0.777,0.16988417,
BML,14,r2,5500,37.1041,2,,0.547,0.662,0.173716012,
BML,14,r3,5500,37.1041,2,,0.678,0.853,0.205158265,
BML,18,r4,5500,37.1041,2,2,0.693,0.957,0.275862069,
BML,18,r4,5500,37.1041,2,3,0.655,0.879,0.25483504,
BML,14,r4,5500,37.1041,2,,0.217,0.23,0.056521739,
BML,4,r1,5500,37.1041,2,,0.352,0.396,0.111111111,
BML,9,r2,5500,37.1041,2,,0.136,0.16,0.15,
BML,17,r2,5500,37.1041,2,,0.342,0.361,0.052631579,
BML,5,r5,5500,37.1041,2,,0.36,0.391,0.079283887,
BML,19,r1,5500,37.1041,2,,0.229,0.238,0.037815126,
BML,17,r5,5500,37.1041,2,,0.449,0.509,0.117878193,
BML,5,r2,5500,37.1041,2,,0.202,0.229,0.11790393,
BML,16,r1,5500,37.1041,2,,0.297,0.334,0.110778443,
BML,11,r1,5500,37.1041,2,,0.369,0.442,0.165158371,
BML,5,r5,5500,37.1041,2,,0.182,0.197,0.076142132,
BML,9,r4,5500,37.1041,2,,0.113,0.139,0.18705036,
BML,16,r4,5500,37.1041,2,,0.351,0.396,0.113636364,
BML,19,r4,5500,37.1041,2,,0.223,0.236,0.055084746,
BML,19,r3,5500,37.1041,2,,0.379,0.402,0.05721393,
BML,17,r4,5500,37.1041,2,,0.313,0.417,0.24940048,
BML,?,r1,5500,37.1041,2,,0.169,0.22,0.231818182,
BML,4,r2,5500,37.1041,2,,0.658,0.741,0.112010796,
BML,7,r1,5500,37.1041,2,,0.355,0.414,0.142512077,
BML,10,r1,5500,37.1041,2,,0.153,0.177,0.13559322,
BML,13,r1,5500,37.1041,2,,0.306,0.369,0.170731707,
BML,18,r1,5500,37.1041,2,,0.37,0.406,0.088669951,
BML,16,r2,5500,37.1041,2,,0.278,0.323,0.139318885,
BML,14,r1,5500,37.1041,2,,0.267,0.317,0.157728707,
BML,20,r1,5500,37.1041,2,,0.258,0.274,0.058394161,
BML,20,r4,5500,37.1041,2,,0.087,0.09,0.033333333,
BML,20,r5,5500,37.1041,2,,0.107,0.111,0.036036036,Leaf9 page
BML,21 or 20,r3,5500,37.1041,2,,0.165,0.175,0.057142857,Leaf10 page
BML,19,r5,5500,37.1041,2,,0.215,0.228,0.057017544,
BML,20,r2,5500,37.1041,2,,0.238,0.257,0.073929961,
BML,17,r3,5500,37.1041,2,,0.3,0.35,0.142857143,
BML,19,r2,5500,37.1041,2,,0.23,0.246,0.06504065,
BML,9,r5,5500,37.1041,2,,0.157,0.174,0.097701149,
BML,18,r2,5500,37.1041,2,,0.398,0.454,0.123348018,
BML,16,r5,5500,37.1041,2,,0.247,0.278,0.111510791,
BML,10,r2,5500,37.1041,2,,0.132,0.155,0.148387097,
BML,16,r3,5500,37.1041,2,,0.402,0.496,0.189516129,
BML,10,r3,5500,37.1041,2,,0.086,0.098,0.12244898,
BML,6,r1,5500,37.1041,2,,0.279,0.312,0.105769231,
BML,5,r3,5500,37.1041,2,,0.146,0.174,0.16091954,
BML,14,r3,5500,37.1041,2,,0.15,0.156,0.038461538,
BML,6,r5,5500,37.1041,2,,0.354,0.384,0.078125,
BML,6,r4,5500,37.1041,2,,0.271,0.298,0.090604027,
BML,5,r1,5500,37.1041,2,,0.403,0.46,0.123913043,
BML,7,r2,5500,37.1041,2,,0.409,0.472,0.133474576,
BML,7,r4,5500,37.1041,2,,0.41,0.468,0.123931624,
BML,6,r2,5500,37.1041,2,,0.257,0.289,0.110726644,
BML,7,r3,5500,37.1041,2,,0.538,0.655,0.178625954,
BML,7,r5,5500,37.1041,2,,0.409,0.478,0.144351464,
BML,13,r5,5500,37.1041,2,,0.291,0.335,0.131343284,
BML,13,r4,5500,37.1041,2,,0.167,0.185,0.097297297,
BML,13,r3,5500,37.1041,2,,0.222,0.235,0.055319149,
BML,13,r2,5500,37.1041,2,,0.172,0.223,0.228699552,
