Population,Genotype,Replicate,Elevation,Latitude,Cline,Planting Date,End of Stratification,Re-Strat Start Date,End of 2nd Strat,Flowering Date,Days to Flowering,Node of 1st Flower,Leaf Collected?,Flower Width (mm),Corolla Length,Floral Ratio,Cleistogamous?,Anther,Stigma,Height at 1st flower (mm),
ST,32,1,6135,37.7664,1,3/7/17,3/21/17,5/4/17,5/16/17,7/11/17,56,5.00,Y,1.5,7,0.214285714,Y,5.5,8,68,
ST,32,2,6135,37.7664,1,3/7/17,3/21/17,5/4/17,5/16/17,,,,,,,#DIV/0!,,,,,
ST,32,3,6135,37.7664,1,3/7/17,3/21/17,5/4/17,5/16/17,,,,,,,#DIV/0!,,,,,
ST,32,4,6135,37.7664,1,3/7/17,3/21/17,5/4/17,5/16/17,,,,,,,#DIV/0!,,,,,
ST,32,5,6135,37.7664,1,3/7/17,3/21/17,5/4/17,5/16/17,,,,,,,#DIV/0!,,,,,
ST,32,6,6135,37.7664,1,3/7/17,3/21/17,5/4/17,5/16/17,7/14/17,59,4.00,Y,2,8.5,0.235294118,Y,6,7,42,
ST,45,1,6135,37.7664,1,3/7/17,3/21/17,,,4/19/17,29,2.00,Y,2,6.2,0.322580645,N,4.5,5.2,38,
ST,45,2,6135,37.7664,1,3/7/17,3/21/17,,,4/20/17,30,2.00,Y,2,6,0.333333333,N,3.5,4.5,27,
ST,45,3,6135,37.7664,1,3/7/17,3/21/17,,,4/19/17,29,2.00,Y,2,5.5,0.363636364,N,4,4.5,21,
ST,45,4,6135,37.7664,1,3/7/17,3/21/17,,,4/20/17,30,2.00,Y,2,5.5,0.363636364,Y,4,4,24,
ST,45,5,6135,37.7664,1,3/7/17,3/21/17,,,4/24/17,34,3.00,Y,2,7,0.285714286,N,4,5,26,
ST,60,1,6135,37.7664,1,3/7/17,3/21/17,,,,,,,,,#DIV/0!,,,,,
ST,60,2,6135,37.7664,1,3/7/17,3/21/17,,,,,,,,,#DIV/0!,,,,,
ST,60,3,6135,37.7664,1,3/7/17,3/21/17,,,,,,,,,#DIV/0!,,,,,
ST,60,4,6135,37.7664,1,3/7/17,3/21/17,,,,,,,,,#DIV/0!,,,,,
ST,60,5,6135,37.7664,1,3/7/17,3/21/17,,,,,,,,,#DIV/0!,,,,,
ST,41,1,6135,37.7664,1,3/7/17,3/21/17,,,5/1/17,41,4.00,Y,3,6.5,0.461538462,Y/N,5,7,70,"branch flower cleist, main flower chasmog"
