Population,Species,Latitude,Longitude,Elevation (ft),Elevation (m),Cline
BCL,M. laciniatus,37.2049,-119.246,4900,1493.45,SNF (middle)
BML,M. laciniatus,37.090509,-119.31505,5567,1696.74,SNF (middle)
CECL,M. laciniatus and M. guttatus (M. nasutus?),37.18517,-119.29712,4182,1274.61,SNF (middle)
CRV,,37.812585,-119.50447,,2577.44,YOSE (north)
DNK,M. laciniatus,37.0511,-119.13102,6075,1851.57,SNF (middle)
GB,M. laciniatus,37.0708,-119.23165,5510,1679.37,SNF (middle)
HEH,M. laciniatus,37.89314,-119.84853,4583,1396.83,YOSE (north)
HHR,"M. laciniatus, M. guttatus (nasutus?), hybrids",37.957206,-119.78607,3962,1207.56,YOSE (north)
HUL,M. laciniatus,37.14372,-119.09606,7122,2170.68,SNF (middle)
LIB,M. laciniatus,36.36958,-118.48498,7206,2196.28,SEKI (south)
OPN,M. laciniatus,37.8107,-119.4852,8300,2529.72,YOSE (north)
PETL,"M. laciniatus, M. guttatus",37.03346,-119.22122,4123,1256.63,SNF (middle)
QAL,M. laciniatus,36.43013,-118.56323,6519,1986.89,SEKI (south)
SBL,"M. laciniatus, M. guttatus",37.02384,-119.2455,3254,991.77,SNF (middle)
SHL,"M. laciniatus, M. guttatus",37.08682,-119.18388,5231,1594.33,SNF (middle)
ST,M. laciniatus,37.76637,-119.54167,6135,1869.86,YOSE (north)
TRT,M. laciniatus,37.42990,-119.42321,4858,1480.65,YOSE (north)
WCL,M. laciniatus,37.20227,-119.34225,3610,1100.27,SNF (middle)
WLF,M. laciniatus,37.50492,-119.35631,"7,859",2395.31,YOSE (north)
WUV,M. laciniatus,36.36292,-118.45469,6987,2129.53,SEKI (south)
YCN,M. laciniatus,37.8264,-119.5957,7700,2346.85,YOSE (north)
